file,filter,quality_flag,mean,median,std,min_value,max_value,saturation_fraction,bad_pixel_fraction
qatar1b-143.fit,R,ok,90.24123330575007,83.2928588174502,180.08473663987215,-629.0063616978777,21281.116240611023,0.0,0.0004838685938005946
qatar1b-144.fit,R,ok,90.33558604794221,83.25925582242792,208.47132620251728,-621.081872101684,28586.393270258213,0.0,0.00043419387124311913
qatar1b-145.fit,R,ok,90.61028304531501,83.43530234036007,211.8364283863401,-613.1573825054902,32709.450263976978,0.0,0.0004489123075564452
qatar1b-146.fit,R,ok,90.82557401976442,83.59925403271339,209.27670969799433,-1564.8188678331007,30518.07495208488,0.0,0.0004709899620264343
qatar1b-147.fit,R,ok,91.20692348537936,84.06761840229478,203.7458192057478,-3170.0685834377646,29176.15427323609,0.0,0.0004415530893997822
qatar1b-148.fit,R,ok,93.08420254968496,85.97498624633283,211.09639712663585,-1553.208505252311,33314.30634855241,0.0,0.00036244149421565453
qatar1b-149.fit,R,ok,93.31889746787174,86.27809817739202,196.5381701126642,-1603.520076435733,26883.865706389173,0.0,0.0003422036442848312
qatar1b-150.fit,R,ok,91.95010204356447,84.86572686399073,203.9513769930081,-1583.201941919351,31207.390262639314,0.0,0.00039739778045980395
qatar1b-151.fit,R,ok,90.87761196511748,83.8725461995737,201.6278838687441,-1545.4682635317845,29412.07035244719,0.0,0.00046363074386977126
qatar1b-152.fit,R,ok,91.35478183978023,84.34287059913575,208.18458387218038,-1574.4941699837586,33140.36740284492,0.0,0.0004433928939389479
qatar1b-153.fit,R,ok,91.25162635708229,84.23220880646963,196.13308709800899,-1497.091752778494,27017.489005742416,0.0,0.00043419387124311913
qatar1b-154.fit,R,ok,91.42842403369391,84.30069399773649,203.96694197894163,-1525.1501290154024,29317.089821397178,0.0,0.0004139560213122958
qatar1b-155.fit,R,ok,91.53108588931173,84.40254426062113,213.03649932963256,-1540.6306124564553,34910.61418059058,0.0,0.00041211621677313
qatar1b-156.fit,R,ok,92.76638263637001,85.65507896583989,206.81563972838953,-1564.8188678331007,30475.069643208422,0.0,0.0003550822760589915
qatar1b-157.fit,R,ok,92.56629464199031,86.42177896106563,115.09375042779413,-1541.5981426715211,10900.104170800123,0.0,0.00036612110329398606
qatar1b-158.fit,R,ok,93.02936149177032,86.0761674854027,199.35381835566943,-1595.7798347152066,30169.016346860455,0.0,0.0003716405169114833
qatar1b-159.fit,R,ok,92.37284632067762,85.46326848259068,202.4600826689365,-1609.3252577261278,30756.486499638497,0.0,0.00034772305790232847
qatar1b-160.fit,R,ok,91.98169296150176,85.21221689791386,184.70338864264195,-3963.0870051642896,22030.055341924904,0.0,0.00036060168967648877
qatar1b-161.fit,R,ok,92.14476165372298,85.35358143986957,186.37554067474517,-1592.877244070009,23644.739796757243,0.0,0.0004084366076947985
qatar1b-162.fit,R,ok,91.7679489635,84.89935380455168,188.72207738930868,-1557.078626112574,23473.31341644981,0.0,0.0003550822760589915
qatar1b-163.fit,R,ok,92.89792087723933,86.10581338117603,202.29794375328203,-1558.04615632764,29541.097835116325,0.0,0.00037348032145064907
qatar1b-164.fit,R,ok,93.91873865106132,87.12720812218038,204.52517576007702,-1552.240975037245,29941.129906402086,0.0,0.0002870095081098584
qatar1b-165.fit,R,ok,92.894989497687,86.21726383121666,207.07868754995414,-1594.8123045001407,32091.5156128421,0.0,0.0003532424715198257
qatar1b-166.fit,R,ok,91.36018389485231,85.01821783194657,174.77808295506676,-1561.9162771879032,22481.497930710906,0.0,0.0004249948485472903
qatar1b-167.fit,R,ok,92.73324012575308,86.1771917542219,192.08303772897298,-1557.078626112574,27470.454875775627,0.0,0.000305407553501516
qatar1b-168.fit,R,ok,90.550564460369,84.27449062683536,183.21203909669853,-1573.5266397686928,28376.534188528294,0.0,0.00041579582585146154
qatar1b-169.fit,R,ok,92.36171705812924,85.9752780847445,186.41632556453314,-1540.6306124564553,25487.722035952283,0.0,0.0004415530893997822
